genus_name common_name height_range_id diameter age_yrs
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3.5 8.952772073921972
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 8.952772073921972
PRUNUS "KWANZAN FLOWERING CHERRY" 1 4 8.952772073921972
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 8.952772073921972
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 8.941820670773442
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 7.655030800821355
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 7.904175222450377
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 6.86652977412731
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 8.933607118412047
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 8.725530458590006
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 8.725530458590006
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 8.85968514715948
PRUNUS "KWANZAN FLOWERING CHERRY" 1 5.25 8.950034223134839
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 8.594113620807667
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 8.681724845995893
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 8.681724845995893
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 8.594113620807667
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 7.657768651608487
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 7.901437371663245
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 7.901437371663245
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 7.898699520876113
PRUNUS "KWANZAN FLOWERING CHERRY" 1 5.25 7.901437371663245
PRUNUS "KWANZAN FLOWERING CHERRY" 3 15.5 33.58521560574949
PRUNUS "KWANZAN FLOWERING CHERRY" 2 8.5 22.77344284736482
PRUNUS "KWANZAN FLOWERING CHERRY" 2 12.5 33.74127310061601
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 14.99520876112252
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 11.71252566735113
PRUNUS "KWANZAN FLOWERING CHERRY" 1 8.5 19.67145790554415
PRUNUS "KWANZAN FLOWERING CHERRY" 2 17 32.876112251882276
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 14.507871321013004
PRUNUS "KWANZAN FLOWERING CHERRY" 3 29 21.284052019164957
PRUNUS "KWANZAN FLOWERING CHERRY" 1 5.5 13.801505817932922
PRUNUS "KWANZAN FLOWERING CHERRY" 3 18.5 32.97467488021903
PRUNUS "KWANZAN FLOWERING CHERRY" 2 16.5 32.917180013689254
PRUNUS "KWANZAN FLOWERING CHERRY" 2 15 32.917180013689254
PRUNUS "KWANZAN FLOWERING CHERRY" 2 15 32.917180013689254
